2257, 'Z',19,29,38,79, 'Tuesday October 01',2019
2256, 'Z',14,48,69,78, 'Monday September 30',2019
2255, 'I',17,21,23,79, 'Sunday September 29',2019
2254, 'G',1,5,52,77, 'Saturday September 28',2019
2253, 'U',17,35,43,60, 'Friday September 27',2019
2252, 'U',16,19,23,76, 'Thursday September 26',2019
2251, 'G',4,48,67,80, 'Wednesday September 25',2019
2250, 'X',25,45,59,69, 'Tuesday September 24',2019
2249, 'Z',46,64,70,80, 'Monday September 23',2019
2248, 'Q',31,36,45,77, 'Sunday September 22',2019
2247, 'E',13,14,22,59, 'Saturday September 21',2019
2246, 'X',2,51,68,79, 'Friday September 20',2019
2245, 'O',41,55,59,64, 'Thursday September 19',2019
2244, 'P',11,17,18,29, 'Wednesday September 18',2019
2243, 'T',18,46,58,70, 'Tuesday September 17',2019
2242, 'S',20,41,57,73, 'Monday September 16',2019
2241, 'L',15,20,38,45, 'Sunday September 15',2019
2240, 'E',27,36,54,63, 'Saturday September 14',2019
